,precision,recall,f1-score,support
banjir,0.9215686274509803,0.9215686274509803,0.9215686274509803,51.0
bogor,0.9807692307692307,0.9272727272727272,0.9532710280373832,55.0
depok,0.9795918367346939,0.9795918367346939,0.9795918367346939,49.0
dpr,0.8888888888888888,0.8333333333333334,0.8602150537634409,48.0
gempa,0.9615384615384616,0.9803921568627451,0.970873786407767,51.0
info-tempo,0.9047619047619048,0.9344262295081968,0.9193548387096774,61.0
israel,0.9594594594594594,0.9861111111111112,0.9726027397260274,72.0
jakarta,0.7395833333333334,0.71,0.7244897959183674,100.0
jokowi,0.8857142857142857,0.9393939393939394,0.9117647058823529,99.0
kebakaran,0.9285714285714286,0.9558823529411765,0.9420289855072463,68.0
kemensos,0.9230769230769231,0.9795918367346939,0.9504950495049505,49.0
kpk,0.9514563106796117,0.98,0.9655172413793104,100.0
mpr,0.9649122807017544,1.0,0.9821428571428571,55.0
pilkada jakarta,0.8518518518518519,0.45098039215686275,0.5897435897435898,51.0
polri,0.9636363636363636,0.8983050847457628,0.9298245614035088,59.0
prabowo,0.75,0.57,0.6477272727272727,100.0
prabowo subianto,0.7049180327868853,0.86,0.7747747747747747,100.0
pramono anung,0.7256637168141593,0.82,0.7699530516431925,100.0
ridwan kamil,0.8773584905660378,0.93,0.9029126213592233,100.0
tni,0.9245283018867925,0.9245283018867925,0.9245283018867925,53.0
accuracy,0.8705137227304715,0.8705137227304715,0.8705137227304715,0.8705137227304715
macro avg,0.8893924864611522,0.8790688965066508,0.8796690359851704,1421.0
weighted avg,0.8713902094186649,0.8705137227304715,0.8668062449658349,1421.0
