,banjir,bogor,depok,dpr,gempa,info-tempo,israel,jakarta,jokowi,kebakaran,kemensos,kpk,mpr,pilkada jakarta,polri,prabowo,prabowo subianto,pramono anung,ridwan kamil,tni
banjir,47,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
bogor,0,51,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
depok,0,0,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dpr,0,0,0,40,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,1
gempa,0,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
info-tempo,0,0,0,0,0,57,0,2,0,0,2,0,0,0,0,0,0,0,0,0
israel,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,1,0,0,0,0
jakarta,4,0,0,1,0,0,0,71,2,2,0,1,0,0,0,1,1,17,0,0
jokowi,0,0,0,0,0,0,0,0,93,0,0,1,0,0,0,2,2,1,0,0
kebakaran,0,0,1,0,0,1,0,1,0,65,0,0,0,0,0,0,0,0,0,0
kemensos,0,0,0,0,0,1,0,0,0,0,48,0,0,0,0,0,0,0,0,0
kpk,0,0,0,0,0,0,0,0,0,0,0,98,0,0,1,0,0,0,1,0
mpr,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0
pilkada jakarta,0,0,0,0,0,0,0,6,1,0,0,0,0,23,0,0,0,10,11,0
polri,0,0,0,2,0,1,0,0,1,0,0,0,0,0,53,0,2,0,0,0
prabowo,0,0,0,1,0,0,3,1,2,0,2,1,1,0,0,57,29,0,0,3
prabowo subianto,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,9,86,0,0,0
pramono anung,0,0,0,0,0,0,0,11,1,2,0,0,0,3,0,0,0,82,1,0
ridwan kamil,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,2,93,0
tni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,49
